2185541,1.1-1.2,"[1.1] ἄνδρα μοι ἔννεπε, μοῦσα, πολύτροπον, ὃς μάλα πολλὰ [1.2] πλάγχθη, ἐπεὶ Τροίης ἱερὸν πτολίεθρον ἔπερσεν:","Tell me, O Muse, of the man of many devices, who wandered so very much after he had sacked the sacred citadel of Troy .",ἀνήρ ἐγώ ἐνέπω Μοῦσα πολύτροπος ὅς μάλα πολύς πλάζω ἐπεί Τροία ἱερός πτολίεθρον πέρθω
2185542,1.3-1.5,"[1.3] πολλῶν δ᾽ ἀνθρώπων ἴδεν ἄστεα καὶ νόον ἔγνω, [1.4] πολλὰ δ᾽ ὅ γ᾽ ἐν πόντῳ πάθεν ἄλγεα ὃν κατὰ θυμόν, [1.5] ἀρνύμενος ἥν τε ψυχὴν καὶ νόστον ἑταίρων.","Many were the men whose cities he saw and whose mind he learned, and many the woes he suffered in his heart upon the sea, seeking after his own life and the homecoming of his comrades.",πολύς δέ ἄνθρωπος εἶδον ἄστυ καί νόος γιγνώσκω πολύς δέ ὁ γε ἐν πόντος πάσχω ἄλγος ὅς κατά θυμός ἄρνυμαι ὅς τε ψυχή καί νόστος ἑταῖρος
2185543,1.6,"[1.6] ἀλλ᾽ οὐδ᾽ ὣς ἑτάρους ἐρρύσατο, ἱέμενός περ:","Yet even so he did not save his comrades, though he struggled hard,",ἀλλά οὐδέ ὡς ἑταῖρος ῥύομαι ἵημι πέρ
2185544,1.7-1.9,"[1.7] αὐτῶν γὰρ σφετέρῃσιν ἀτασθαλίῃσιν ὄλοντο, [1.8] νήπιοι, οἳ κατὰ βοῦς Ὑπερίονος Ἠελίοιο [1.9] ἤσθιον:","for through their own blind folly they perished—fools, who devoured the cattle of Helios Hyperion.",αὐτός γάρ σφέτερος ἀτασθαλία ὄλλυμι νήπιος ὅς κατά βοῦς Ὑπερίων ἠέλιος ἐσθίω
2185545,1.9,[1.9] αὐτὰρ ὁ τοῖσιν ἀφείλετο νόστιμον ἦμαρ.,And so he took from them the day of their homecoming.,ἀτάρ ὁ ὁ ἀφαιρέω νόστιμος ἦμαρ
2185546,1.1,"[1.10] τῶν ἁμόθεν γε, θεά, θύγατερ Διός, εἰπὲ καὶ ἡμῖν.","Of these things, goddess, daughter of Zeus, beginning where you will, tell also to us.",ὁ ἁμόθεν γε θεά θυγάτηρ Ζεύς εἶπον καί ἐγώ
2185547,1.11-1.12,"[1.11] ἔνθ᾽ ἄλλοι μὲν πάντες, ὅσοι φύγον αἰπὺν ὄλεθρον, [1.12] οἴκοι ἔσαν, πόλεμόν τε πεφευγότες ἠδὲ θάλασσαν:","Now all the rest, as many as had escaped sheer destruction, were at home, having escaped from both war and sea.",ἔνθα ἄλλος μέν πᾶς ὅσος φεύγω αἰπύς ὄλεθρος οἴκοι εἰμί πόλεμος τε φεύγω ἠδέ θάλασσα
2185548,1.13-1.15,"[1.13] τὸν δ᾽ οἶον νόστου κεχρημένον ἠδὲ γυναικὸς [1.14] νύμφη πότνι᾽ ἔρυκε Καλυψὼ δῖα θεάων [1.15] ἐν σπέσσι γλαφυροῖσι, λιλαιομένη πόσιν εἶναι.","Odysseus alone, filled with longing for his return and for his wife, the queenly nymph Calypso, that bright goddess, kept back in her hollow caves, yearning that he should be her husband.",ὁ δέ οἶος νόστος χράω2 ἠδέ γυνή νύμφη πότνια ἐρύκω Καλυψώ δῖος θεά ἐν σπέος γλαφυρός λιλαίομαι πόσις εἰμί
2185549,1.16-1.19,"[1.16] ἀλλ᾽ ὅτε δὴ ἔτος ἦλθε περιπλομένων ἐνιαυτῶν, [1.17] τῷ οἱ ἐπεκλώσαντο θεοὶ οἶκόνδε νέεσθαι [1.18] εἰς Ἰθάκην, οὐδ᾽ ἔνθα πεφυγμένος ἦεν ἀέθλων [1.19] καὶ μετὰ οἷσι φίλοισι.","But when, as the seasons revolved, the year came in which the gods had ordained that he should return home to Ithaca , not even there had he made his escape from toils, even among his own people.",ἀλλά ὅτε δή ἔτος ἔρχομαι περιπέλομαι ἐνιαυτός ὁ ὁ ἐπικλώθω θεός οἶκόνδε νέομαι εἰς Ἰθάκη οὐδέ ἔνθα φεύγω εἰμί ἆθλος καί μετά ὅς φίλος
2185550,1.19-1.20,[1.19] θεοὶ δ᾽ ἐλέαιρον ἅπαντες [1.20] νόσφι Ποσειδάωνος:,"The gods felt pity, all except Poseidon;",θεός δέ ἐλεαίρω ἅπας νόσφι Ποσειδεών
