en
ἀπεῖπον,longhaired,1.00023e-07
ἵστημι,a,1.00269e-07
νῆσος,has,1.00375e-07
ζωός,but,1.00398e-07
Ὀδυσσεύς,he,1.00433e-07
ὑποτίθημι,counsel,1.00565e-07
Ἀθήνη,laid,1.00584e-07
δόμονδε,all,1.01194e-07
ἐπίστροφος,to,1.01261e-07
διδάσκω,thee,1.01276e-07
δίδωμι,from,1.0138e-07
θύρα,folded,1.01393e-07
νήποινος,it,1.0155e-07
ἔχω,thine,1.01604e-07
ἔνθα,of,1.01953e-07
εἰμί,in,1.02125e-07
δῶμα,grows,1.02125e-07
πάρος,his,1.02144e-07
ἀτάρ,and,1.02635e-07
παῖς,that,1.03454e-07
Ἀτρείδης,the,1.04398e-07
ἄν,Even,1.05112e-07
βάλλω,flashingeyed,1.05793e-07
μετέρχομαι,man,1.05885e-07
δή,whether,1.05905e-07
ἐπιτίθημι,of,1.05967e-07
ἔρχομαι,take,1.06223e-07
κακός,thou,1.06333e-07
ὄμβρος,rain,1.06822e-07
ὠκύμορος,they,1.0715e-07
ἀμύμων,heart,1.07414e-07
ἀμύμων,rich,1.07739e-07
προπάροιθε,on,1.08058e-07
οἶτος,one,1.08344e-07
ἀέκων,haply,1.08615e-07
τίω,the,1.08787e-07
ναῦς,to,1.08802e-07
παντοῖος,platters,1.08837e-07
πόλεμος,or,1.08911e-07
κομίζω,to,1.08921e-07
λέκτρον,opened,1.09085e-07
Ἀθῆναι,him,1.09318e-07
ἐνέπω,me,1.09616e-07
μετά,in,1.10006e-07
μετέρχομαι,din,1.10114e-07
τίθημι,placed,1.10176e-07
μετακιάθω,however,1.10386e-07
μετέρχομαι,was,1.10847e-07
μᾶλλον,arouse,1.11576e-07
ὄφρα,fathers,1.12261e-07
ἐσθής,swifter,1.12615e-07
ἐπιμένω,to,1.12691e-07
αὖθις,my,1.12991e-07
ἄωτον,which,1.13021e-07
πρίαμαι,long,1.13078e-07
χαλεπός,cruel,1.13174e-07
γε,know,1.13355e-07
Ἰθάκηνδε,see,1.1379e-07
ἀποτίνω,price,1.14727e-07
κλείω2,things,1.15637e-07
μέγαρον,these,1.15777e-07
κεῖμαι,gods,1.1598e-07
ὁ,them,1.15993e-07
περίσκεπτος,the,1.16048e-07
πέρ,absent,1.16156e-07
αὐτός,holds,1.16294e-07
κακός,for,1.16398e-07
ὀμφαλός,the,1.16506e-07
ἀναγιγνώσκω,of,1.16576e-07
τις,him,1.16641e-07
καλύπτω,he,1.16906e-07
ἀμφαδόν,this,1.1694e-07
καπνός,longing,1.17034e-07
σύ,too,1.17117e-07
φρονέω,Aegisthus,1.17625e-07
δίδωμι,this,1.18963e-07
αὔλειος,took,1.20176e-07
νεφεληγερέτα,the,1.22424e-07
μέν,care,1.22572e-07
ἐπιτολμάω,heart,1.23315e-07
ποιητός,shining,1.23326e-07
βοητύς,be,1.23461e-07
λούω,as,1.23883e-07
χείρ,full,1.24027e-07
παννύχιος,the,1.24153e-07
Ὀδυσσεύς,outer,1.24336e-07
εἰσοράω,these,1.24411e-07
ἔργον,loom,1.24751e-07
οἷος,him,1.24767e-07
ἤδη,go,1.24833e-07
χαρίζομαι,sacrifice,1.25342e-07
κακός,should,1.25571e-07
σύν,seest,1.25767e-07
ἄλγος,ordained,1.25897e-07
ποθεν,my,1.26125e-07
ἀρνέομαι,is,1.27424e-07
θάρσος,courage,1.28344e-07
ἀμφιπέλομαι,the,1.2855e-07
γείνομαι,art,1.28685e-07
διάκτορος,declare,1.29655e-07
παρίστημι,her,1.29867e-07
ὤψ,upon,1.30058e-07
ὀπίσω,a,1.30364e-07
νοστέω,him,1.30391e-07
παῖς,thou,1.30439e-07
ἀλαόω,with,1.30534e-07
μάκαρ,is,1.31054e-07
χαλκοχίτων,to,1.31632e-07
Κρονίων,Cronos,1.31761e-07
εἶδον,he,1.3221e-07
ἀποίχομαι,need,1.32372e-07
Σπάρτη,seek,1.32613e-07
ἀνακρεμάννυμι,then,1.33289e-07
ἀνοπαῖα,1,1.33543e-07
εἰς,yet,1.33612e-07
χρύσεος,feet,1.33812e-07
ἄνθρωπος,will,1.34912e-07
τοιοῦτος,other,1.35689e-07
νεμεσάω,gates,1.36337e-07
ἄστυ,learned,1.36349e-07
Ἀτρείδης,has,1.36621e-07
Δαναοί,the,1.3702e-07
τίθημι,heart,1.37127e-07
χείρ,his,1.37198e-07
τί,for,1.38331e-07
πέρ,when,1.38709e-07
ἅμα,who,1.39385e-07
ἐναλίγκιος,present,1.39647e-07
Ἀχαιός,kings,1.39706e-07
κατέρχομαι,go,1.39709e-07
εἶδον,learned,1.39974e-07
πύθω,rain,1.40489e-07
ὀρυμαγδός,from,1.41603e-07
ἐκεῖνος,no,1.41933e-07
Ἀτρείδης,Orestes,1.42147e-07
εἶδον,woes,1.42317e-07
ἀοιδός,that,1.42568e-07
ὀρυμαγδός,was,1.42923e-07
