en
hmm
Ἀγχίαλος,Anchialus,0.999883
θεός,gods,0.999883
κῆρυξ,herald,0.999883
αὖ,Then,0.999883
οἶκος,house,0.999883
πόλις,city,0.999883
ποῖος,what,0.999883
ἐν,in,0.999883
κίθαρις,lyre,0.999883
πω,yet,0.999882
ἄρουρα,fields,0.999882
γυνή,her,0.999882
Ἰθάκη,Ithaca,0.999882
ἅπας,The,0.999881
ἐπιμιμνήσκομαι,him,0.999873
Νέστωρ,question,0.999871
οὐρανός,who,0.999829
ἑκατόμβη,rams,0.999814
ἐκ,from,0.999769
νύμφη,nymph,0.999766
ἀοιδή,song,0.999646
δέ,and,0.999618
πρωθήβης,bearing,0.999573
προσεῖπον,answered,0.999545
δαίω2,where,0.999542
βλέφαρον,until,0.998743
ἑξῆς,them,0.997884
ἀπεῖπον,I,0.9942
κρείων,lords,0.994102
ὑψηλός,high,0.99316
Μερμερίδης,house,0.991869
τοιγάρ,Therefore,0.991799
θρόνος,on,0.991405
καί,and,0.990856
Ἀντίνοος,Antinous,0.990834
νῆσος,isle,0.990322
ἀμφίαλος,seagirt,0.990216
πού,haply,0.986156
ψυχή,life,0.980706
χθών,has,0.977689
ἔπος,spoke,0.977082
ἥρως,be,0.976172
εὖτε,sets,0.972403
ἕζομαι,wellbuilt,0.970899
βάλλω,as,0.964237
μετά,had,0.961958
σφάζω,his,0.95727
πᾶς,all,0.932551
σῆμα,gone,0.928041
Τηλέμαχος,Telemachus,0.927916
πρό,killed,0.92646
οὗτος,this,0.922403
γλαφυρός,caves,0.914541
νήποινος,atonement,0.908997
νῦν,now,0.904916
Ὀδυσσεύς,Odysseus,0.904282
ἀπαμείβομαι,her,0.904092
ἐμός,my,0.899874
θεά,goddess,0.876526
ἀντίος,answered,0.874891
υἱός,son,0.866558
πέπνυμαι,wise,0.860415
νίζω,wash,0.855291
θέλγω,beguiles,0.843695
μετέρχομαι,men,0.84336
Ποσειδεών,Poseidon,0.839446
πατήρ,father,0.829505
προθέω2,busy,0.827981
λιμήν,harbor,0.827849
ὀδύνη,for,0.825251
βαίνω,went,0.820747
ἠδέ,and,0.817255
Ζεύς,Zeus,0.815198
ὀτρύνω,fairtressed,0.813834
διάκτορος,pleasing,0.803472
ἔπειτα,then,0.801259
ὑγρός,blasts,0.798672
μακρός,a,0.798525
δή,that,0.794386
καθικνέομαι,forgotten,0.773379
δόλος,openly,0.770955
ὁ,he,0.767122
θυγάτηρ,daughter,0.766855
ἐσθλός,seeing,0.764601
πέρ,though,0.761736
χείρ,hands,0.757523
φημί,that,0.757206
κατά,in,0.75441
ὕπατος,high,0.753478
κεφαλή,head,0.750261
θάλαμος,chamber,0.748306
αὖτε,Then,0.74494
νόστιμος,day,0.744473
γάρ,for,0.743574
οὐ,not,0.743442
Ἑρμῆς,Hermes,0.741099
θύρα,on,0.740256
εἰς,to,0.738796
πρῶτος,was,0.737975
πατρίς,native,0.736998
ἀντίθεος,godlike,0.735905
Παλλάς,Pallas,0.734129
ἀντιάω,some,0.733358
μνηστήρ,wooers,0.728462
σύ,thee,0.728444
ὅδε,this,0.720521
Τροία,Troy,0.718918
ἀείδω,them,0.718041
κλισμός,Beside,0.716664
Ἀθήνη,Athena,0.71469
Ὀρέστης,Orestes,0.714222
δῖος,goodly,0.713974
θυμός,heart,0.7128
ἐποίχομαι,a,0.711394
ἐπί,as,0.707497
εἶδαρ,grave,0.697413
ἱμερόεις,gladsome,0.692706
ὑπερφίαλος,overweening,0.692107
ὀφθαλμός,Nay,0.687095
ἀγορά,an,0.676165
ἄπυστος,me,0.675508
σιωπή,silence,0.671635
ἔντοσθεν,within,0.67026
πλέω,crew,0.670232
πόντος,sea,0.669578
ἄγω,And,0.669419
προσαυδάω,Then,0.669194
πόλεμος,war,0.66667
ἱερός,sacrifice,0.666427
λυγρός,upon,0.660635
ἀνά,by,0.660525
οὐδέ,not,0.659024
μιν,he,0.657953
τέγος,her,0.657666
σπέος,hollow,0.657259
ἀτάρ,But,0.656047
οἶος,alone,0.65277
ἔγχος,spear,0.652362
Ὑπερίων,who,0.651196
πάσχω,after,0.650519
ἔρομαι,ask,0.646194
ἅμα,her,0.646115
νόος,all,0.644864
ἀσκελής,is,0.643115
Ἀργειφόντης,well,0.640985
ξανθός,to,0.640064
Αἴγισθος,Aegisthus,0.639917
ἀμείβω,Then,0.639474
δύναμαι,able,0.635573
τε,and,0.635215
σῖτος,them,0.631341
Πόλυβος,Polybus,0.629857
γίγνομαι,But,0.628917
χαλκοῦς,and,0.625429
δῶμα,house,0.62518
ὀστέον,These,0.623313
ἱστός,tasks,0.621064
αἰδοῖος,brought,0.619167
ἄλλος,other,0.616267
εἶπον,tell,0.616184
λέκτρον,doors,0.613029
ἐνιαυτός,year,0.612855
φρονέω,thought,0.612171
μάλα,a,0.610691
παρειά,wellbuilt,0.610605
ἀθάνατος,immortal,0.603399
ἀμφίπολος,handmaids,0.601923
χάλκεος,held,0.601676
ἅλς,sea,0.601604
μένος,courage,0.601281
ἄλοχος,wife,0.601239
θάλασσα,sea,0.599976
σός,thy,0.599866
αἶα,land,0.599729
κτέαρ,had,0.598832
ἵνα,that,0.597807
μῦθος,to,0.59733
ἀμβρόσιος,her,0.594359
δάμνημι,mighty,0.592362
μᾶλλον,that,0.59179
ναῦς,ship,0.589341
ναίω2,knows,0.588741
ἤ,or,0.579722
ἐγώ,me,0.579692
βουλεύω,So,0.578557
ὅτε,set,0.578528
φεύγω,escaped,0.578456
ὄλεθρος,destruction,0.578269
μετακιάθω,Poseidon,0.5738
χρύσεος,them,0.572622
εἰ,if,0.571893
αὐδάω,her,0.571362
ἀρνέομαι,neither,0.568076
νοστέω,he,0.567664
ἄιστος,is,0.56688
ἡμέτερος,our,0.565896
ἄν,thou,0.564722
ἔδω,they,0.564635
δμώς,slaves,0.564398
ἀχεύω,should,0.564003
ch
hmm
ἀνάθημα,的,0.999821
προσεῖπον,眼睛,0.999821
μέγας,英名,0.999821
κῆρυξ,信使,0.999821
θοός,快船,0.999821
κτέαρ,哦,0.999821
μήτηρ,母亲,0.999821
γόος,悲哀,0.999821
Ἀθῆναι,雅典娜,0.999821
πόσις2,满足,0.999821
Τηλέμαχος,忒勒马科斯,0.999821
ἀγρός,我,0.999821
ὀδύνη,痛苦,0.999821
τοκεύς,哪里,0.999821
χόλος,怨愤,0.999821
χρεώ,此宴,0.999821
ὅθι,拥围,0.999821
Ποσειδεών,波塞冬,0.999821
Μέντης,门忒斯,0.999821
αὖ,答道,0.999821
φρονέω,善意,0.999821
κατά,在,0.999821
πόλις,双亲,0.99982
Κύκλωψ,大地,0.99982
γάρ,他,0.99982
πόντος,着,0.999818
φέρω,在,0.999817
Ἀτρείδης,之子,0.999814
ὅς,的,0.999812
δαίω2,人,0.99981
δή,你,0.999809
νίζω,清水,0.999809
ὅστις,你,0.999808
κεῖνος,自取,0.999802
πύκα,坚实,0.999798
Φήμιος,菲弥俄斯,0.999792
ναῦς,海船,0.999724
κίων,连,0.999701
ἐπιτολμάω,心魂,0.999606
ἀναγιγνώσκω,亲爹,0.99957
ἀντίος,听罢,0.999534
Ἰθάκηνδε,伊萨卡,0.999502
σπέος,仙女,0.999458
ἱμείρω,故乡,0.999421
αὐδάω,这番话,0.999364
δεῖπνον,胃口,0.999329
καί,我,0.99929
κρατήρ,里,0.999233
καρδία,听唱用,0.998725
ἱστός,回去,0.998685
ἀμείβω,答道,0.998565
ἄριστος,户头,0.998303
τείρω,心魂,0.997154
μιν,他,0.996721
τανύω,床架,0.991947
μενεαίνω,家邦,0.991423
ἀναβαίνω,出征,0.990967
ὄνειαρ,食客,0.989621
θάλαμος,睡房,0.988685
ἀμφίρυτος,水浪,0.988029
μάρτυρος,作证,0.985117
μετά,现在,0.981783
κεδνός,从未,0.974684
ὀρχηστύς,夜色,0.969093
ἄγω,送到,0.968316
ποθεν,卜言,0.96453
εὐρύς,不曾,0.962356
σύ,你,0.953622
ἐγώ,我,0.952188
Πηνελόπεια,千古,0.951396
δέ,的,0.948476
ἑταῖρος,伙伴,0.945694
Ὀδυσσεύς,俄底修斯,0.945671
ὄφρα,以便,0.945057
υνκνοων,坐,0.93752
υἱός,之子,0.912167
φέριστος,俊杰,0.911088
Λαέρτης,用,0.90762
ὁ,他,0.892653
ἕ,他,0.88409
ὡς,罢,0.883266
ἵστημι,站,0.88123
θεός,神明,0.879958
πατήρ,父亲,0.866125
πέρ,他,0.858624
ἔπος,说道,0.857194
Ἀθήνη,雅典娜,0.855651
ἐξέρομαι,问告,0.853102
ἐν,在,0.843027
φημί,说,0.832149
τε,和,0.825825
αὖτε,答道,0.819043
ἅλς,里,0.819019
ἐμός,我,0.810494
εἰμί,是,0.809702
ἀτασθαλία,他们,0.80733
νόστος,回归,0.770129
ὕβρις,人们,0.765668
πρῶτος,房居,0.765149
κλισμός,们,0.759706
οὐκέτι,此人,0.756055
κομάω,人,0.752544
θεά,女神,0.749866
δαίφρων,聪颖,0.747043
ἔχω,着,0.744497
Ἑρμῆς,赫耳墨斯,0.740117
μέν,不,0.737982
ἱκνέομαι,想,0.733953
ἀράομαι,他们,0.732623
πολύς,许多,0.728392
φεύγω,了,0.727014
ὅτε,当,0.714269
ξανθός,墨奈劳斯,0.710175
