en
hmm
ἀοιδὸς,singing,0.999883
κλίμακα,she,0.999883
πρῶτα,go,0.999883
ἤσθιον,Hyperion,0.999883
νήπιοι,folly,0.999883
κεδνὰ,went,0.999883
αἶψά,ones,0.999883
τὸ,strength,0.999883
ὄρνις,departed,0.999883
Σπάρτηνδε,Menelaus,0.999883
ἐπικρατέουσιν,those,0.999883
Δουλιχίῳ,wooded,0.999883
ἐμός,gave,0.999883
ἀντίον,answered,0.999883
αὖ,Then,0.999883
ἐς,to,0.999883
δῖος,goodly,0.999883
Ἀγχιάλοιο,over,0.999883
προσέειπε,Then,0.999883
ὅτε,when,0.999883
ποτοῖο,drink,0.999883
Ὀδυσσεὺς,Odysseus,0.999883
ἡγεῖθ᾽,he,0.999883
παρ᾽,our,0.999883
γλαυκῶπις,flashingeyed,0.999883
Ἀθήνη,Athena,0.999883
Παλλὰς,Pallas,0.999883
ἐπιμνησθεὶς,Remembering,0.999883
ῥα,stood,0.999883
Πολύβου,Eurymachus,0.999883
νῆσος,a,0.999883
εἰπὼν,saying,0.999883
ἐντρέπεται,not,0.999883
οἴκῳ,house,0.999883
οἰνοπέδοιο,attended,0.999883
σὲ,hall,0.999883
ἄγε,come,0.999883
ὁ,he,0.999883
τὸν,him,0.999883
Λαέρτης,with,0.999882
ἐυξόου,house,0.999882
διάκτορον,his,0.999882
αἰθομένας,he,0.999882
ἰδυῖα,truehearted,0.999882
σταθμὸν,by,0.999882
πρῶτ᾽,helmet,0.999882
ξεῖνος,he,0.999882
κοίλῃς,hollow,0.999882
ἄρ᾽,as,0.999882
δῶ,house,0.999882
χαῖρε,shalt,0.999882
δὲ,and,0.999882
Ζηνὸς,together,0.999882
Ἀργείων,ships,0.999882
φέρει,or,0.999882
εἴρεο,thence,0.999882
πεφευγότες,from,0.999882
περισκέπτῳ,things,0.999881
ὁπποίης,thou,0.999881
ἑρπύζοντ᾽,as,0.99988
ἥδ᾽,ship,0.99988
τοῖον,for,0.99988
φιλήσεαι,Hail,0.99988
βασιλῆες,dead,0.99988
ἐνὶ,in,0.99988
πάροιθεν,put,0.999876
ἀθανάτοισι,spoke,0.999876
νήσοισιν,Zacynthusand,0.999874
δουροδόκης,lofty,0.999871
ἴμεν,forth,0.999869
ἐδήσατο,her,0.999867
ἄγων,richlywrought,0.999867
Νέστορα,question,0.999863
βῆ,went,0.99986
ταῦτά,me,0.999854
Ἰθάκην,Ithaca,0.999852
ἐπιβώσομαι,haply,0.999845
ἔνθα,he,0.999845
δυσμόρῳ,my,0.999843
δῖα,her,0.99984
περικαλλέα,lyre,0.999832
φρεσὶ,his,0.99982
φάτο,spoke,0.99981
Μερμερίδαο,way,0.999809
μνηστῆρας,wooers,0.999809
λέχεσσι,she,0.999808
κτείνῃς,guile,0.999806
καὶ,and,0.999805
μέσον,Hellas,0.999783
Ὀρέσταο,once,0.999776
οἴκοι,escaped,0.999772
ποιητοῖο,wellbuilt,0.99977
μετελθών,men,0.999762
Μενέλαον,fairhaired,0.999761
