hmm
ἀκάκητα,and,0.999356
Ζεὺς,Zeus,0.966713
Κίρκη,Circe,0.963754
Ναυσικάα,Nausicaa,0.956209
ἑὴν,his,0.953576
Τηλέμαχος,Telemachus,0.950021
νῆας,ships,0.942639
Τηλέμαχ᾽,Telemachus,0.93217
Ἑλένη,Helen,0.924416
Εὐρυνόμη,Eurynome,0.918934
Ὀδυσῆα,Odysseus,0.917652
δῶρα,gifts,0.916207
νῆες,ships,0.916004
πάντες,all,0.915336
νηῦς,ship,0.911551
αἰεὶ,ever,0.911548
Ὀδυσσεὺς,Odysseus,0.909432
πάντας,all,0.907609
Ἀθηναίη,Athena,0.907518
Ἀλκίνοος,Alcinous,0.907266
Εὐρύλοχος,Eurylochus,0.905146
Ἰθάκην,Ithaca,0.903935
ἓξ,six,0.903417
μ᾽,me,0.901609
θεοειδής,godlike,0.901017
θεοὶ,gods,0.898335
τέκνα,children,0.897868
τόδε,this,0.897396
ἀνάγκῃ,perforce,0.896367
οἶνον,wine,0.89521
ξεῖνε,stranger,0.895057
ἐγὼ,I,0.894051
Μενέλαος,Menelaus,0.893769
θεά,goddess,0.892296
ὅθι,where,0.890374
Ἀθήνη,Athena,0.890246
νηῶν,ships,0.888673
νέας,ships,0.888108
ἐστίν,is,0.887988
μέλαιναν,black,0.887771
μνηστῆρας,wooers,0.887672
Εὐρύκλεια,Eurycleia,0.886989
Ζεύς,Zeus,0.886701
Ὀδυσῆϊ,Odysseus,0.885485
Δημόδοκον,Demodocus,0.884355
πόλιν,city,0.884296
υἱὸς,son,0.883555
πᾶσιν,all,0.882643
Ποσειδάων,Poseidon,0.880865
ἀπ᾽,from,0.880599
